APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,0.0,0.0,40.0,1.0,1.0,1.0
CREATE_CALENDAR_EVENT,0.0,0.0,25.0,15.0,0.38,1.0,0.55
CREATE_REMINDER,0.0,0.0,2.0,38.0,0.95,1.0,0.97
GENERATE_IMAGE,2.0,0.0,0.0,38.0,1.0,1.0,1.0
GET_CALENDAR_EVENTS,9.0,0.0,15.0,16.0,0.52,1.0,0.68
GET_CURRENT_DATE_AND_TIME,0.0,0.0,0.0,40.0,1.0,1.0,1.0
GET_CURRENT_STOCK_PRICE,0.0,0.0,0.0,40.0,1.0,1.0,1.0
GET_NEWS,0.0,0.0,0.0,40.0,1.0,1.0,1.0
GET_WEATHER,6.0,1.0,2.0,31.0,0.94,0.97,0.95
NOT_AVAILABLE,180.0,1.0,33.0,36.0,0.52,0.97,0.68
SEND_EMAIL,0.0,0.0,0.0,40.0,1.0,1.0,1.0
Cumulative,197.0,2.0,77.0,374.0,0.83,0.99,0.9
