APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,0.0,6.0,54.0,0.9,1.0,0.95
CREATE_CALENDAR_EVENT,0.0,0.0,22.0,38.0,0.63,1.0,0.78
CREATE_REMINDER,0.0,0.0,7.0,53.0,0.88,1.0,0.94
GENERATE_IMAGE,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_CALENDAR_EVENTS,17.0,0.0,15.0,28.0,0.65,1.0,0.79
GET_CURRENT_DATE_AND_TIME,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_CURRENT_STOCK_PRICE,0.0,0.0,0.0,59.0,1.0,1.0,1.0
GET_NEWS,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_WEATHER,0.0,0.0,3.0,57.0,0.95,1.0,0.97
NOT_AVAILABLE,296.0,0.0,28.0,36.0,0.56,1.0,0.72
SEND_EMAIL,0.0,0.0,0.0,60.0,1.0,1.0,1.0
Cumulative,313.0,0.0,81.0,565.0,0.87,1.0,0.93
